GRB	Time [UT]	Trigger Number	BAT RA (J2000)	BAT Dec (J2000)	BAT 90% Error Radius [arcmin]	BAT T90 [sec]	BAT Fluence (15-150 keV) [10^-7 erg/cm^2]	BAT Fluence 90% Error (15-150 keV) [10^-7 erg/cm^2]	BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]	BAT 1-sec Peak Photon Flux 90% Error (15-150 keV) [ph/cm^2/sec]	BAT Photon Index (15-150 keV) (PL = simple power-law, CPL = cutoff power-law)	BAT Photon Index 90% Error (15-150 keV)	XRT RA (J2000)	XRT Dec (J2000)	XRT 90% Error Radius [arcsec]	XRT Time to First Observation [sec]	XRT Early Flux (0.3-10 keV) [10^-11 erg/cm^2/s]	XRT 11 Hour Flux (0.3-10 keV) [10^-11 erg/cm^2/s]	XRT 24 Hour Flux (0.3-10 keV) [10^-11 erg/cm^2/s]	XRT Initial Temporal Index	XRT Spectral Index (Gamma)	XRT Column Density (NH) [10^21 cm^-2]	UVOT RA (J2000)	UVOT Dec (J2000)	UVOT 90% Error Radius [arcsec]	UVOT Time to First Observation [sec]	UVOT Magnitude	UVOT Other Filter Magnitudes	Other Observatory Detections	Redshift	Host Galaxy	Comments	References	Burst Advocate
151027A	03:58:24	661775	272.498	61.361	1.1	129.69	78	2	6.8	0.6	1.72, PL	0.05	18:09:56.85	61:21:11.9	1.4	87.00	708	0.74271162	0.186820095	-1.144	2.00612	4.47471	18:09:57.26	61:21:05.4	n/a	96	V=15.12	B=15.37|U=14.00|UVW1=14.71|UVM2=14.98|UVW2=15.12|White=14.44	KAIT (0.76m), ISON-NM (0.4m), Palomar (60"), Weihai (1m), MITSuME (50cm), Fermi (GBM), GMG (2.4m), RAPTOR, THO (16"), VLA @ 21.8 GHz, LCOGT-McDonald (1m), Xinglong  (0.8m), Konus-Wind, TUBITAK T100 (1m), NOT, Zeiss-1000 (1m), MAXI, Nikolaev (0.5m), Wiggins (0.35m), Mt. Terskol (Zeiss-600), Sayan (AZT-33IK), Hankasalmi (0.4m), GMRT @ 1390 MHz and 610 MHz, Himalayan Chandra Telescope (2m), Maidanak (AZT-22)	0.38 (XRT: tentative)|0.81 (Keck: absorption)|0.81 (GMG: absorption)				Alessandro Maselli
151021A	01:29:12	660671	337.647	-33.189	1.0	110.2	280	10	9.7	0.8	1.57, PL	0.04	22:30:34.43	-33:11:50.3	1.4	90.71	2760	0.181048755	0.06177846	-3.347	1.96079	21.701	22:30:34.43	-33:11:50.3	0.42	99	V=15.82	B>20.19|U>19.77|UVW1>19.53|UVM2>19.64|UVW2>19.97|White=16.89	VLT, MASTER II, Konus-Wind, PROMPT (16")	2.330 (VLT: absorption)				Andrea Melandri
150915A	21:18:24	655721	319.675	-34.874	2.3	164.7	8.0	1.8	0.5	0.2	2.51, PL	0.42	21:18:38.01	-34:54:49.1	3.73775	128.69	557	n/a	n/a	-0.5182	1.79	0.86	n/a	n/a	n/a	295	V>18.2	B>19.2|U>20.0|White>19.9	MPG (2.2m), VLT, NOT	1.968 (VLT: absorption)		UVOT: no detection		Valerio D'Elia
150910A	09:04:48	655097	5.677	33.466	2.3	112.2	48	4	1.1	0.4	1.42, PL	0.12	00:22:40.16	33:28:22.7	1.4	145.30	223	0.19873107	0.028924454	-2.942	1.78547	0.6957	00:22:40.11	33:28:21.9	0.58	154	V>17.23	B=17.56|U=18.03|UVW1=16.76|UVW2>17.97|White=19.90	KAIT (0.76m), Faulkes North (2m), MITSuME (50cm), Nanshan (1m), Lick (3m), GTC (10.4), Zeiss-1000 (SAO RAS), Murikabushi (1m), MPG (2.2m), Okayama Astrophysical Observatory (0.91m), NOT (2.5m), Zeiss-1000 (Tien Shan), VLA @ 9.8 GHz, Chuguev Observatory (0.7m), AS-32 (0.7m), Palomar (60"), Murikabushi (1m), HJT (1.5m), Zeiss-600 (Mt. Terskol), T100 (1m), Zeiss-2000 (Mt. Terskol), AS-32 (0.7m), CrAO Observatory	1.359 (Lick: absorption)|1.360 (GTC: absorption)		UVOT: Preliminary detections using the UVOT photometric system show a very rapid and steep rise in the luminosity of the afterglow over the first 1 ks of observation.		Claudio Pagani
150821A	09:44:00	652847	341.913	-57.883	1.7	172.1	7.9	1.9	n/a	n/a	2.10, PL	0.37	22:47:39.13	-57:53:38.1	1.4	243.26	349	0.07879995	0.0288219258	-0.655	2.21622	21.9065	22:47:39.18	-57:53:38.1	0.61	251	n/a	V=17.21|B=17.48|U=16.70|UVW1=17.62|UVM2>19.8|UVW2=19.85|White=16.59	VLT, Fermi (GBM), MPG (2.2m), Siding Springs (1m), Konus-Wind	0.755 (VLT: absorption)				Nora Troja
150818A	11:36:32	652603	230.340	68.342	1.1	123.3	41	2	2.4	0.3	1.96, PL	0.09	15:21:25.44	68:20:31.3	1.6	84.45	1590	0.04607164	0.0266887164	-2.357	1.9776	0.886699	15:21:25.43	68:20:33.0	0.66	94	V>19.36	B=20.56|U=19.63|UVW1=18.78|UVM2=18.81|UVW2=18.90|White=19.68	NOT, AZT-33IK, Konus-Wind, GTC (10.4m), Zeiss-1000	0.282 (GTC: emission from possible host)				Valerio D'Elia
150727A	19:02:02	650530	203.968	-18.320	1.0	88	37	2	1.0	0.2	1.14, PL	0.07	13:35:52.51	-18:19:32.5	1.7	77.18	893	0.0264268068	0.0152799936	-1.167	1.79253	0.00000000107996	13:35:52.52	-18:19:31.2	0.44	86	V>18.7	B>18.5|U=18.75|UVM2>19.1|UVW2=19.53|White=18.28	VLT, Fermi (GBM), HJT (1.5m), IRSF (1.4m)	0.313 (VLT: emission)				Brad Cenko
150424A	07:42:57	638946	152.305	-26.646	1.0	91	15	1	12.0	0.4	1.23, PL	0.15	10:09:13.35	-26:37:51.3	1.4	87.87	287	0.100241991	0.04000662	-1.121	1.98937	1.044425	10:09:13.38	-26:37:51.1	0.6	99	V>19.8	B=20.71|U=20.13|UVW1=20.00|UVM2=19.91|UVW2=20.03|White=20.38	Keck I (10m), Konus-Wind, NOT, MPG (2.2m), GTC (10.4), HJT (1.5m), VLA @ 9.8 GHz	<3 (GTC)				Andy Beardmore
150423A	06:28:04	638808	221.601	12.264	1.9	0.22	0.63	0.10	0.9	0.1	0.84, PL	0.24	14:46:18.96	12:17:00.6	1.6	70.12	n/a	0.007539672	0.0035902482	-0.951	1.53257	0.385306	n/a	n/a	n/a	73	V>20.9	B>20.9|U>20.8|UVW1>20.9|UVM2>20.8|UVW1>21.6|white>21.5	MPG (2.2m), Keck I (10m), HJT (1.5m), VLT, UKIRT (3.8m)	1.394 (VLT: absorption, tentative)		UVOT: no detection		Claudio Pagani
150413A	13:54:58	637899	190.396	71.839	1.9	263.6	43	4	1.6	0.3	1.75, PL	0.14	n/a	n/a	n/a	303300	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	MASTER II, MAXI, Khureltogot (ORI-40), Nanshan (1m), Tautenburg (1.34m), Palomar (60"), CAHA (2.2m), University of Athens (0.40m), iTelescope (0.43m & 0.32m), Capannori (0.60m), Virtual Telescope (17"), GMG (2.4m), Asiago (1.8m), Mt. Lemmon (1m), MITSuME (50cm), RTT150 (1.5m), AZT-11, AMI @ 15 GHz, Bassano Bresciano Observatory, SANTEL-650	3.2 (CAHA: absorption)|3.139 (Asiago: absorption)		Due to an observing constraint, Swift did not observe until T0+4 days.|XRT: no detection		Craig Markwardt
150403A	21:54:16	637044	311.505	-62.706	1.0	40.90	170	3	17.6	-.6	1.23, PL	0.04	20:46:01.17	-62:42:40.4	1.4	74.70	634	2.27477208	0.80599512	-0.3856	1.70996	6.17159	20:46:01.15	-62:42:41.0	0.42	85	V=16.49	B=16.65|U=16.14|UVW1=19.68|UVM2>22.2|UVW2>20.6|White=14.89	Fermi (LAT & GBM), VLT, Konus-Wind, MASTER II	2.06 (VLT: absorption)				Amy Lien
150323A	02:49:14	635887	128.173	45.442	2.07	149.6	61	2	5.4	0.3	1.85, PL	0.07	08:32:42.74	45:27:52.8	1.6	146.55	3250	0.054075606	0.0223498444	-6.628	2.0639	4.92829	n/a	n/a	n/a	156	V=18.93	U=19.86|UVW1>20.2|UVM2>20.9|UVW2>20.4|White=20.96	Palomar (60"), HJT (1.5m), Keck I (10m), KAIT (0.76m), Konus-Wind, Konkoly Observatory	0.593 (Keck I: absorption and emission)				Alex Amaral-Rogers
150314A	04:55:16	634795	126.661	63.839	1.0	14.79	220	3	38.5	0.9	1.08, PL	0.03	08:26:40.90	63:50:03.5	1.7	85.12	585	0.28227264	0.08629803	-0.9186	1.84772	10.4028	n/a	n/a	n/a	95	V=15.48	B=19.28|U=18.86|UVW1>20.31|UVM2>20.16|UVW2>20.46|White=17.22	KAIT (0.76m), Fermi (LAT & GBM), Yerkes Observatory  (41"), NOT (2.56m), GTC (10.4m), Palomar (60"), Konus-Wind, RAPTOR, VLA @ 5 GHz	1.758 (GTC: absorption)				Lea Hagen
150301B	19:38:04	633180	89.159	-57.969	1.0	12.44	18	1	3.0	0.2	1.46, PL	0.07	05:56:39.98	-57:58:10.7	1.5	82.44	n/a	0.030624419	0.012939307	-1.104	1.80944	0.00000000652396	05:56:39.89	-57:58:10.4	0.42	86	V>19.7	B>19.6|U=17.1|UVW1>19.9|UVM2>19.8|UVW2>21.6|White=16.2	MASTER II, MPG (2.2m), VLT, Fermi (GBM), Las Cumbres Observatory (1m)	1.5169 (VLT: absorption)				Amy Lien
150206A	14:30:02	630019	10.076	-63.181	1.0	83.2	139	3	10.1	0.4	1.33, PL	0.04	00:40:17.67	-63:10:56.2	1.4	474.54	235	0.82151982	0.319388817	-1.444	1.82177	9.36766	00:40:17.66	-63:10:55.6	0.78	483	n/a	V>18.8|B=19.56|U>19.0|UVW1>18.9|UVW2>19.7|White=18.76	MAXI, MPG (2.2m), VLT, Konus-Wind	2.087 (VLT: absorption)				Lea Hagen
150120A	02:57:46	627137	10.330	33.980	1.5	1.20	1.4	0.2	1.8	0.2	1.81, PL	0.18	00:41:16.54	33:59:41.5	1.8	76.2	n/a	n/a	0.0000000009	-4.6	2.0	6.5	n/a	n/a	n/a	83	V>19.5	B>21.0|U>20.6|UVW1>20.6|UVM2>21.1|UVW2>20.5	Fermi (GBM)	0.460 (Gemini-North: emission, possible host)		UVOT: no detection		Valerio D'Elia
150101B	15:23:00	Ground Analysis|20464	188.044	-10.956	2.5	0.018	0.23	0.06	n/a	n/a	3.3, PL	0.5	12:32:04.93	-10:56:00.8	1.8	139200	n/a	0.0279218292	0.033767884	0.2437	2.30384	0.492098	n/a	n/a	n/a	n/a	n/a	White=18.44	Fermi (GBM), GTC (10.4m), XMM-Newton, Gemini-South	0.093 (GTC: emission from host)		Swift J123205.1-105602		Jay Cummings
141225A	23:01:07	622476	138.754	33.774	2.2	40.24	25	2	1.3	0.4	1.32, PL	0.15	09:15:06.79	33:47:30.6	1.4	423.51	n/a	0.0222545898	0.0107221833	-2.221	1.67237	0.147644257087	09:15:06.92	33:47:30.9	0.66	428	V?19.2	B>19.5|U=19.19|UVW1>19.0|UVM2>18.6|UVW2>19.7|White=18.81	CAHA (1.23m), Liverpool (2m), NOT, GCT (10.4m), Nanshan (36cm), MASTER-SAAO, T60 (0.60m), Fermi (GBM), TAROT (25cm), MPG (2.2m)	0.915 (GTC: absorption)				Paolo D'Avanzo
141221A	08:07:10	622006	198.283	8.197	1.1	36.9	21	1	3.1	0.2	1.74, PL	0.08	13:13:08.84	08:12:18.3	1.4	79.47	n/a	0.042532133	0.0197691823	-0.982	2.22288	2.93689	13:13:08.81	08:12:18.8	0.43	84	V=17.43	B=17.92|U=17.62|UVW1>20.0|UVM2>20.9|UVW2>20.5|White=17.33	REM (60cm), LCOGT-McDonald (1m), PROMPT (14"), MPG (2.2m), Fermi (GBM), TAROT (25cm), Keck II	1.452 (Keck II: absorption, tentative)				Eda Sonbas
141220A	06:02:52	621915	195.058	32.146	1.2	7.21	26	1	8.9	0.7	0.62, CPL	0.38	13:00:15.66	32:08:47.9	3.6	99.16	37.6	0.027381924	0.00939023	0.1601	1.80565	3.06016	13:00:15.76	32:08:47.0	0.45	105	V=17.65	B=17.58|White=17.30	CAHA (1.23m), GTC (10.4m), Liverpool (2m), Fermi (GBM), Konus-Wind	1.3195 (GTC: absorption)				Jay Cummings
141212A	12:14:01	621229	39.167	18.163	1.9	0.30	0.72	0.12	1.2	0.2	1.61, PL	0.23	02:36:29.95	18:08:49.1	2.6	69.11	n/a	0.0025021404	0.00141624936	-0.7295	1.95822	1.228192	n/a	n/a	n/a	72	V>18.81	B>19.8|U>20.1|UVW1>19.3|UVW2>18.6|White>21.2		0.596 (Gemini-North: emission from likely host)	i=22.2, Gemini-North			Tilan Ukwatta
141121A	03:50:43	619182	122.665	22.206	2.1	549.9	53	4	0.9	0.3	1.73, PL	0.13	08:10:40.68	22:13:02.7	1.4	362.43	607	0.131181966	0.083225016	-5.102	1.93447	3.94373	08:10:40.63	22:13:02.2	0.5	371	V=20.3	B=19.8|U=19.4|UVW1=19.4|UVM2=20.4|UVW2=21.2|White=20.2	MAXI/GSC, MPG (2.2m), Keck I (10m), LCO-FTN (2m), HJT (1.5m), MITSuME (50cm), AS-32 (0.7m), Murikabushi (1m), AZT-33IK, AMI @ 15 GHz, Zeiss-1000 (1m), WSRT @ 4.9 GHz, Konus-Wind, AZT-33IK, ORI-40, VLA @ 14 GHz, DCT (4.3m)	1.47 (Keck I: absorption)				Amy Lien
141109A	05:49:55	618024	144.563	-0.581	3.0	200	68	3	2.5	0.2	1.52, PL	0.07	09:38:07.40	-00:36:28.6	1.4	129.18	1180	0.30204002	0.11431446	-0.6735	1.95256	13.4825	n/a	n/a	n/a	139	V>198.9	B>20.3|U>19.7|UVW1>20.1|UVM2>20.7|UVW2>20.9|White=20.0	REM (60cm), VLT, MPG (2.2m), McDonald Observatory (2.1m), TNT (0.8m), Konus-Wind, NOT (2.5m), Zeiss-2000, Abastumani Observatory (0.7m), TAROT (25cm), VLA @ 21.8 GHz	2.993 (VLT: absorption)				Paolo D'Avanzo
141026A	02:36:51	616502	44.049	26.925	1.9	146	13	1	0.4	0.2	2.34, PL	0.19	02:56:20.28	26:55:42.0	1.6	157.00	1580	0.079325428	0.049305888	-3.748	1.91933	2.84836	n/a	n/a	n/a	165	V>19.34	B>20.48|U>20.15|UVW1>19.61|UVM2>19.58|UVW2>20.26|White>21.45	HJT (1.5m), MPG (2.2m), CAHA (1.23m), Hale (5m), Zeiss-1000 (1m), GTC (10.4m), VLA @ 21.8 GHz & 6.2 GHz, Gemini-North (8m), ZTSh	3.35 (GTC: absorption, possible redshift)		UVOT: no detection		Lea Hagen
141004A	23:20:54	614390	76.721	12.828	1.0	3.92	6.7	0.3	6.1	0.3	1.86, PL	0.08	05:06:56.07	12:49:10.2	1.4	59.89	n/a	0.00654696	0.0013689942	-0.6939	1.79496	3.14274484708	05:06:56.14	12:49:11.3	0.43	65	V=18.94	B=18.94|U=17.93|UVW1=18.67|UVM2>20.5|UVW2=20.69|White=17.64	INTEGRAL, CAHA (1.23m), TNG (3.6m), Monte Agliale Observatory (0.5m), HJT (1.5m), NOT (2.5m), MPG (2.2m), Fermi (GBM), GTC (10.4m)	0.57 (NOT: emission)|0.573 (GTC: emission)				Valerio D'Elia
140907A	16:07:08	611933	48.133	46.596	1.4	79.2	43	2	2.5	0.2	1.72, PL	0.07	03:12:34.98	46:36:17.1	1.4	83.59	54.6	0.13477992	0.06075402	-3.069	2.00735	3.02766	03:12:34.98	46:36:17.5	0.75	107	n/a	U=16.61|White=16.66	Nanshan (35cm & 1m), Virtual Telescope (17"), MITSuME (50cm), Murikabushi (1m), GTC (10.4m), Fermi (GBM), T100 (1.0m), DCT (4.3m), Nayuta (2m), MASTER II, Zeiss-1000, CAHA (1.23m), AZT-33IK	1.21 (GTC)				Hans Krimm
140903A	15:00:30	611599	238.021	27.608	1.0	0.30	1.4	0.1	2.5	0.2	1.99, PL	0.12	15:52:03.27	27:36:09.4	1.4	59	10	0.124650474	0.049621749	-0.186	1.63218	1.198516	n/a	n/a	n/a	76	V>18.9	B>20.0|U>18.2|UVW1>18.4|UVM2>18.8|UVW2>18.6|White>21.0	DCT (4.3m), Palomar (60"), VLA @ 6 GHz, Faulkes North (2m), NOT (2.5m), Gemini-North, Chandra, GMRT @ 1390 MHz	0.351 (Gemini-North: absorption, tentative host redshift)		Data were delayed due to a TDRSS telemetry gap.		Jay Cummings
140710A	10:16:40	603954	41.088	35.499	1.8	3.52	2.3	0.3	1.9	0.3	2.00, PL	0.23	02:44:16.28	35:29:57.0	1.5	98.42	n/a	0.02227047	0.011395668	-0.8588	1.99391	3.304507	n/a	n/a	n/a	103	V>19.8	B>20.3|U>20.5|UVW1>20.7|UVM2>20.8|UVW2>19.7|White>20.7	MPG (2.2m), Palomar (60"), HJT (1.5m)	0.558 (Gemini-North: emission, host)		UVOT: no detection		Mike Siegel
140703A	00:37:17	603243	13.010	45.102	1.6	67.1	39	3	2.8	0.6	1.74, PL	0.13	00:51:58.97	45:06:06.9	1.4	112.82	1120	0.27815316	0.019339226	-0.08587	1.82756	7.41044	n/a	n/a	n/a	123	V>19.3	B>20.2|U>20.1|UVW1>19.7|UVM2>20.2|UVW2>20.7|White>20.5	BOOTES-2 (0.6m), OSN (1.5m), GTC (10.4m), Monte Agliale Observatory (0.5m), Fermi (GBM), HJT (1.5m), Palomar (60"), CARMA @ ~93 GHz, VLA @ 19 GHz, Abastumani Observatory (0.7m), AMI @ 15 GHz	3.14 (GTC: absorption)				Dan Kocevski
140629A	14:17:30	602884	249.017	41.897	1.8	42.0	24	2	4.2	0.4	1.86, PL	0.11	16:35:54.48	41:52:36.7	1.4	94.25	60.8	0.05643627	0.008454501	-0.7484	1.95996	5.52967	16:35:54.42	41:52:36.8	0.42	101	V=15.29	B=15.70|U=14.89|UVW1=17.5|UVM2>17.5|UVW2>18.0|White=14.78	MASTER II, TNT (0.8m), RTT150 (1.5m), Virtual Telescope (14"), Kiso Observatory, NOT, T100 (1.0m), Kanata (1.5m), Murikabushi (1m), BTA (6m), Palomar (60"), VATT, TNG (3.6m), Konus-Wind, Nayuta (2m), Zeiss-1000 (1m), MITSuME (50cm), ARIES Nainital (1.04m)	2.275 (BTA: absorption)|2.29 (TNG: absorption)				Amy Lien
140622A	09:36:04	602278	317.153	-14.412	2.5	0.13	0.27	0.05	0.6	0.2	n/a	n/a	21:08:41.56	-14:25:09.5	2.4	93.40	n/a		0.000000000000000000368344	-6.634	1.5546	0.547200249501	n/a	n/a	n/a	97	V>19.6	B>20.1|U>20.2|UVW1>19.6|UVM2>20.6|UW2>20.2|White>21.2		~0.959 (VLT: emission from host)		BAT: From the BAT spectrum, this event does not appear to be a short hard burst.  The quickly fading X-ray lightcurve, however (to be reported in a later circular), does appear consistent with a SHB, and does not appear to be similar to the lightcurves of SGRs or other Galactic sources.|UVOT: no detection		Valerio D'Elia
140614A	01:04:59	601646	231.171	-79.110	2.4	720	13	4	n/a	n/a	1.50, PL	0.46	15:24:40.59	-79:07:43.6	1.4	123.25	73.4	0.031932147	0.009170811	-1.779	1.77015	0.00000000110505	n/a	n/a	n/a	131	V>19.1	B>19.6|U>20.5|UVW1>19.1|UVM2>18.9|UVW2>20.4|White>21.6	MPG (2.2m), VLT	4.233 (VLT: absorption)		UVOT: no detection		Kim Page
140518A	09:17:46	599287	227.231	42.396	1.8	60.5	10	1	1.0	0.1	0.92, CPL	0.61	15:09:00.60	42:25:05.6	1.5	69	367	0.02263924	0.006953646	-3.423	1.93772	28.9394	n/a	n/a	n/a	77	V>20.2	B>22.0|U>21.6|UVW1>21.4|UVM2>21.1|UVW2>21.3|White>22.6	KAIT (0.76m), Palomar (60"), Gemini-North (8m), HJT (1.5m), GORT (14")	4.707 (Gemini-North: absorption)		UVOT: no detection		Andrea Melandri
140515A	09:12:36	599037	186.071	15.099	1.2	23.4	5.9	0.6	0.9	0.1	0.98, CPL	0.64	12:24:15.45	15:06:17.0	1.5	75.79	n/a	0.0000005252004	0.0000000618408	-2.742	1.78553	23.3841	n/a	n/a	n/a	79	V>19.7	B>20.6|U>20.9|UVW1>20.9|UVM2>20.6|UVW2>20.5|White>21.5	Gemini-North, NOT (2.5m), GTC (10.4m), MPG (2.2m), TNG  (3.6m), VLA @ 21.8 GHz	6.32 (Gemini-North: absorption)		UVOT: no detection		Paolo D'Avanzo
140512A	19:31:49	598819	289.366	-15.087	1.1	154.8	140	3	6.8	0.3	1.45, PL	0.04	19:17:28.82	-15:05:39.5	1.4	98.38	2970	1.027104	0.27430845	-0.9989	1.84304	2.129332	19:17:28.78	-15:05:39.2	0.61	106	V=15.97	B=16.84|U=19.08|IVW1=17.52|UVM2>18.71|UVW2>19.05|White=16.99	MASTER II, AZT-33IK, NOT (2.5m), MPG (2.2m), TNT (0.8m), Fermi (GBM), Konus-Wind	0.725 (NOT: absorption)				Claudio Pagani
140506A	21:07:36	598284	276.806	-55.556	1.6	111.1	28	3	10.9	0.9	1.68, PL	0.16	18:27:06.10	-55:38:09.4	1.4	97.90	1010	0.4737096	0.2242464	-1.397	1.74751	6.57119	18:27:06.04	-55:38:08.7	0.43	108	V=19.82	B=19.40|U=17.50|UVW1=18.60|UVM2>18.96|UVW2>19.41|White=17.82	VLT, Fermi (GBM), Konus-Wind	0.889 (VLT: absorption, host)				Ben Gompertz
140430A	20:33:36	597722	102.942	23.033	1.0	173.6	11	2	2.5	0.2	2.00, PL	0.22	06:51:44.62	23:01:24.3	1.5	50.82	399	0.09087309	0.05066721	-4.128	2.15785	4.76398	06:51:44.61	23:01:25.2	0.62	183	V>18.6	B=19.77|U=19.46|UVW1=20.40|UVM2>19.9|UVW2>19.4|White=19.61	Liverpool (2m), NOT, VLT, VATT (1.8m), IAC80 (0.82m), STELLA-I	1.60 (VLT: absorption)				Mike Siegel
140428A	22:40:50	597519	194.365	28.331	2.2	17.42	3.4	0.6	0.6	0.2	1.54, PL	0.26	12:57:28.45	28:23:06.0	1.7	n/a	n/a	0.009482607	0.0044882823	-0.9588	2.9965	1.7323741	n/a	n/a	n/a	104	V>20.3	B>21.4|U>19.5|UVW1>20.5|White>21.2	Keck I (10m), OSN (1.5m), MPG (2.2m)	~4.7 (Keck I: estimate)		UVOT: no detection		Dan Kocevski
140423A	08:31:53	596901	197.276	49.838	1.0	134	94	3	2.1	0.2	1.33, PL	0.06	13:09:08.52	49:50:29.6	1.4	2943.48	n/a	0.15913447	0.04990597	-0.9684	2.06486	6.59878	13:09:08.54	49:50:29.4	0.48	2946	V=19.33	B=19.96|U>21.3|UVW1>21.7|UVM2>20.7|UVW2>22.1|White=19.80	ISON-NM (0.4m), WIYN (3.5m), ROTSE-IIIb, Gemini-North, Kiso Observatory (1.05m), Fermi (GBM), Palomar (60"), KAIT (0.76m), MITSuME (50cm), Kanata Telescope (1.5m), Devasthal (1.3m), TNG (3.6m), Nayuta (2m), NOT (2.5m), HJT (1.5m), MPG (2.2m), RTT150, Konus-Wind, AZT-33IK, Himalayan Chandra Telescope (2m), TShAO (1m)	3.26 (Gemini-North: absorption)		Due to an observing constraint, Swift did not slew until T0+47.2 minutes.		Eda Sonbas
140419A	04:06:51	596426	127.001	46.234	1.0	94.7	160	0	4.9	0.2	1.21, PL	0.04	08:27:57.51	46:14:24.1	1.4	86.49	509	0.4290475	0.1289862	-1.214	1.87322	10.9886	08:27:57.56	46:14:25.3	0.50	97	V=16.1	B=18.4|U>21.0|UVW1>18.1|White=16.2	KAIT (0.76m), ROTSE-IIIb, HJT (1.5m), CARMA @ 93 GHz, Gemini-North, iTelescope (T24), Palomar (60"), MITSuME (50cm), Murikabushi (1m), ARIES Nainital (1.04m), Konus-Wind, NOT, Sayan Observatory (AZT-33IK), Mt. Lemmon (1m)	3.956 (Gemini-North: absorption)				Frank Marshall
140318A	00:09:07	592204	184.049	20.225	2.1	8.43	2.9	0.5	0.5	0.2	1.35, PL	0.28	12:16:21.42	20:12:32.9	1.6	124.75	36.3	0.018975744	0.009011779	-0.4863	2.30719	1.904905	n/a	n/a	n/a	132	V>19.6	B>20.9|U>20.1|UVW1>20.5|UVM2>21.2|UVW2>20.7|White>21.9	NOT (2.5m), WHT, DCT (4.3m), HJT (1.5m), Liverpool (2m)	1.02 (WHT: emission)		UVOT: no detection		Brad Cenko
140311A	21:05:16	591390	209.293	0.607	3.8	71.4	23	3	1.3	0.5	1.67, PL	0.23	13:57:13.25	00:38:30.8	1.5	9500	n/a	0.1014624	0.036819588	-1.299	1.62664	0.0000000000139543	n/a	n/a	n/a	9540	V>19.0	B>21.3|UVW1>19.8|UVW2>21.2|White>22.0	Nanshan (1m), Zadko (100cm), NOT, Kottamia (188cm), Gemini-South, Gemini-North, HJT (1.5m), VLA @ 21.8 GHz	4.95 (Gemini-South: absorption)|~ 5 (NOT: absorption)|4.954 (Gemini-North)		Due to an observing constraint, Swift did not slew until T0+50.6 minutes|UVOT: no detection		Judy Racusin
140304A	13:22:31	590206	30.653	33.480	1.0	15.6	12	1	1.7	0.2	1.29, PL	0.08	02:02:34.26	33:28:25.7	1.6	75.18	62.8	0.03578112	0.020826288	-0.2235	2.01927	30.237	n/a	n/a	n/a	138	V>19.5	U>20.9|UVW1>19.7|UVM2>20.1|UVW2>20.0	MASTER II, Nanshan (1m), Mondy (AZT-33IK), Khureltogot (ORI-40), NOT, GTC (10.4m), Fermi (GBM), HJT (1.5m), VLA @ 6 GHz, CARMA @ 3mm, Suzaku	5.283 (GTC: absorption)| 5.28 (NOT: absorption)		This GRB will enter a Moon observing constraint around 20:00 UT and will not be observable again by Swift until March 6 (Thursday) around 05:30 UT. |UVOT: no detection		Phil Evans
140301A	15:24:49	589590	69.521	-34.249	1.9	31.0	4.4	0.8	0.7	0.2	1.96, PL	0.28	04:38:13.81	-34:15:24.3	1.6	86.07	338	0.0317709	0.01719468	-3.607	2.42752	7.36699	n/a	n/a	n/a	95	V>18.7	B>19.2|U>20.7|UVW1>17.9|UVW2>17.8|White>21.1	NOT, VLT, MPG/ESO (2.2m), Zadko (100cm)	1.416 (VLT: absorption)		UVOT: no detection		Kim Page
140213A	19:21:37	586569	105.166	-73.136	1.0	60.0	120	0	23.5	0.8	1.80, PL	0.04	07:00:37.19	-73:08:13.9	1.4	3425.34	n/a	0.7646854	0.34985992	-1.002	1.96657	0.981457	07:00:37.13	-73:08:13.5	0.51	3428	V=18.03	B=18.40|U=18.81|UVW1=17.65|UVM2=17.77|UVW2=18.46|White=18.08	Perth Observatory (14"), MPG (2.2m), VLT, Fermi (GBM), Konus-Wind, Skynet R-COP/PROMPT	1.2076 (VLT: absorption)		Due to an observing constraint, Swift did not slew until T0+54.8 minutes.		Stephen Holland
140206A	07:17:20	585834	145.321	66.762	1.0	93.6	160	3	19.4	0.5	1.04, CPL	0.15	09:41:20.24	66:45:38.5	1.4	43.88	962	0.9705656	0.36156924	-0.6942	1.88134	10.1231	09:41:20.26	66:45:38.6	0.50	52	V=15.75	B=16.51|U=16.18|UVW1>20.9|UVM2>21.2|UVW2>21.0|White=15.88	INTEGRAL, Searchlight Observatory Network (40cm), MASTER II, Mt. Nanshan (1m), VT-50 (0.5m), Fermi (GBM), T100 (1.0m), TNG  (3.6m), NOT, Virtual Telescope (0.43m), MITSuME (50cm), Liverpool (2m), Sayan Observatory (AZT-33IK), Discovery Channel Telescope (4.3m)	2.73 (NOT: absorption)|2.74 (TNG: absorption)				Amy Lien
